sort,expMetricId,MetricTab,MetricGroup,MetricName,VivaceName,ControlPopulation,ControlAverage,ControlStandardDeviation,TreatmentPopulation,TreatmentAverage,TreatmentStandardDeviation,AbsoluteObservedDelta,RelativeObservedDelta,AbsoluteMimimumDetectableAt80Power,RelativeMinimumDetectableAt80Power,ImpactOnTreatmentPopulation,ImpactType,pValue
15,AvgRevenue_ProductType_AddOn_New,Revenue,Revenue By ProductTypes,-- AddOn,AvgRevenue_ProductType_AddOn_New,134369,0.00542613,0.44324029,134920,0.00728883,0.49753524,0.0018627,0.3432837,0.00508689,0.93748128,686.323284,Observable but not Detected,0.30495147
16,AvgRevenue_ProductType_Book_New,Revenue,Revenue By ProductTypes,-- Book,AvgRevenue_ProductType_Book_New,134369,0,0,134920,0,0,0,NaN,0,null,0,Observable but not Detected,1
17,AvgRevenue_ProductType_Device_New,Revenue,Revenue By ProductTypes,-- Device,AvgRevenue_ProductType_Device_New,134369,0.00144544,0.31261449,134920,0.00432143,0.94877016,0.00287599,1.98969166,0.0076207,5.27222254,1028.18461,Observable but not Detected,0.29037886
18,AvgRevenue_ProductType_Framework_New,Revenue,Revenue By ProductTypes,-- Framework,AvgRevenue_ProductType_Framework_New,134369,0,0,134920,0,0,0,NaN,0,null,0,Observable but not Detected,1
19,AvgRevenue_ProductType_Game_New,Revenue,Revenue By ProductTypes,-- Game,AvgRevenue_ProductType_Game_New,134369,0.10890542,2.17505691,134920,0.11271905,2.87990838,0.00381363,0.03501785,0.02754695,0.25294377,3716.63405,Observable but not Detected,0.69812373
20,AvgRevenue_ProductType_GameAndAddOn_New,Revenue,Revenue By ProductTypes,-- GameAndAddOn,AvgRevenue_ProductType_GameAndAddOn_New,134369,0.11433154,2.22878882,134920,0.12000788,2.95313726,0.00567633,0.04964801,0.02824014,0.24700215,3810.1593,Observable but not Detected,0.57335015
21,AvgRevenue_ProductType_OperatingSystem_New,Revenue,Revenue By ProductTypes,-- OperatingSystem,AvgRevenue_ProductType_OperatingSystem_New,134369,0.0463418,2.70611352,134920,0.06279406,3.51254174,0.01645227,0.35502002,0.03384542,0.73034322,4566.42373,Observable but not Detected,0.17324605
22,AvgRevenue_ProductType_Movie_New,Revenue,Revenue By ProductTypes,-- Movie,AvgRevenue_ProductType_Movie_New,134369,0.01225989,0.7266731,134920,0.01480414,0.69213109,0.00254424,0.20752587,0.00766246,0.62500219,1033.81903,Observable but not Detected,0.35224819
23,AvgRevenue_ProductType_Music_New,Revenue,Revenue By ProductTypes,-- Music,AvgRevenue_ProductType_Music_New,134369,0,0,134920,0,0,0,NaN,0,null,0,Observable but not Detected,1
24,AvgRevenue_ProductType_Pass_New,Revenue,Revenue By ProductTypes,-- Pass,AvgRevenue_ProductType_Pass_New,134369,0.03363949,1.47447935,134920,0.04529934,1.76056418,0.01165985,0.34661193,0.01753029,0.5211224,2365.187,Observable but not Detected,0.06240622
25,AvgRevenue_ProductType_TVEpisode_New,Revenue,Revenue By ProductTypes,-- TVEpisode,AvgRevenue_ProductType_TVEpisode_New,134369,0,0,134920,0,0,0,NaN,0,null,0,Observable but not Detected,1
26,AvgRevenue_ProductType_TVSeason_New,Revenue,Revenue By ProductTypes,-- TVSeason,AvgRevenue_ProductType_TVSeason_New,134369,0.00464444,0.46107752,134920,0.00431598,0.40099144,-0.0003285,-0.0707212,0.00466607,1.00465784,629.546437,Observable but not Detected,0.84366111
27,AvgRevenue_ProductType_TVSeries_New,Revenue,Revenue By ProductTypes,-- TVSeries,AvgRevenue_ProductType_TVSeries_New,134369,0,0,134920,0,0,0,NaN,0,null,0,Observable but not Detected,1
28,TEMPLATE_UserPurchaseProfileProportion_NonPurchaser,Purchase Profile and Engagement,Purchase Profile,NonPurchaser User Proportion,TEMPLATE_UserPurchaseProfileProportion_NonPurchaser,134369,0.00416019,0.06436544,134920,0.00431367,0.06553695,0.00015348,0.03689297,0.00070133,0.16858133,94.6233975,Observable but not Detected,0.53980455
29,TEMPLATE_UserPurchaseProfileProportion_MultiModeMultiSubscription,Purchase Profile and Engagement,Purchase Profile,MultiModeMultiSubscription User Proportion,TEMPLATE_UserPurchaseProfileProportion_MultiModeMultiSubscription,134369,0.00867015,0.09270948,134920,0.00865698,0.09263964,-1.32E-05,-0.0015193,0.00100066,0.11541426,135.008977,Observable but not Detected,0.97058071
30,TEMPLATE_UserPurchaseProfileProportion_MultiModeSingleSubscription,Purchase Profile and Engagement,Purchase Profile,MultiModeSingleSubscription User Proportion,TEMPLATE_UserPurchaseProfileProportion_MultiModeSingleSubscription,134369,0.00379552,0.06149098,134920,0.00367625,0.06052078,-0.0001193,-0.0314228,0.00065875,0.17355888,88.8779963,Observable but not Detected,0.61199665
31,TEMPLATE_UserPurchaseProfileProportion_SingleModeSubscription,Purchase Profile and Engagement,Purchase Profile,SingleModeSubscription User Proportion,TEMPLATE_UserPurchaseProfileProportion_SingleModeSubscription,134369,0.0642931,0.24527525,134920,0.06451972,0.24567737,0.00022661,0.00352467,0.00265054,0.04122589,357.610916,Observable but not Detected,0.81069802
32,TEMPLATE_UserPurchaseProfileProportion_SingleModeTransactional,Purchase Profile and Engagement,Purchase Profile,SingleModeTransactional User Proportion,TEMPLATE_UserPurchaseProfileProportion_SingleModeTransactional,134369,0.00868504,0.09278832,134920,0.00933146,0.09614805,0.00064642,0.07442876,0.00102015,0.11746057,137.638588,Observable but not Detected,0.07586246
33,TEMPLATE_UoeAverage_AllTitles,Purchase Profile and Engagement,Utility of Engagement,AllTitles UoE,TEMPLATE_UoeAverage_AllTitles,31523,25.0865473,46.7179442,31854,25.7470154,54.1874811,0.66046814,0.02632758,1.12558434,0.04486805,35854.3635,Observable but not Detected,0.10020014
34,TEMPLATE_UoeAverage_AppTitlesExclSysApp,Purchase Profile and Engagement,Utility of Engagement,AppTitlesExclSysApp UoE,TEMPLATE_UoeAverage_AppTitlesExclSysApp,31523,6.97621504,12.6652677,31854,7.11601373,13.4034126,0.13979868,0.02003933,0.29018357,0.04159613,9243.50729,Observable but not Detected,0.1771202
35,TEMPLATE_UoeAverage_GameTitles,Purchase Profile and Engagement,Utility of Engagement,GameTitles UoE,TEMPLATE_UoeAverage_GameTitles,31523,15.6803052,33.6725332,31854,16.1113918,39.8914953,0.43108659,0.02749223,0.82123096,0.0523734,26159.4911,Observable but not Detected,0.14139665
36,TEMPLATE_UoeAverage_MiscTitles,Purchase Profile and Engagement,Utility of Engagement,MiscTitles UoE,TEMPLATE_UoeAverage_MiscTitles,31523,0.20506639,2.49136701,31854,0.22803629,3.26700806,0.02296991,0.11201204,0.06461719,0.31510377,2058.31605,Observable but not Detected,0.31930365
37,TEMPLATE_UoeAverage_OnlySysApp,Purchase Profile and Engagement,Utility of Engagement,OnlySysApp UoE,TEMPLATE_UoeAverage_OnlySysApp,31523,2.24023191,6.97735433,31854,2.30430251,7.00810448,0.0640706,0.02859998,0.15563838,0.06947423,4957.70494,Observable but not Detected,0.24878769
38,AvgCount_AttemptedAcquisitions_Total,Orders By Payment Types,Orders/Purchases,Acquisition Attempts,AvgCount_AttemptedAcquisitions_Total,134369,0.83199994,3.77222868,134920,0.81842573,3.14353212,-0.0135742,-0.0163152,0.03749753,0.04506915,5059.16703,Observable but not Detected,0.31049718
39,AvgCount_AttemptedAcquisitions_FreeAndPaid,Orders By Payment Types,Orders/Purchases,-- Free & Paid,AvgCount_AttemptedAcquisitions_FreeAndPaid,134369,0.8319925,3.77222736,134920,0.81841832,3.14352816,-0.0135742,-0.0163153,0.03749751,0.04506952,5059.16338,Observable but not Detected,0.31049792
40,AvgCount_AttemptedAcquisitions_TrialAndPaid,Orders By Payment Types,Orders/Purchases,-- TrialAndPaid,AvgCount_AttemptedAcquisitions_TrialAndPaid,134369,0.83199994,3.77222868,134920,0.81842573,3.14353212,-0.0135742,-0.0163152,0.03749753,0.04506915,5059.16703,Observable but not Detected,0.31049718
41,AvgCount_AttemptedAcquisitions_Free,Orders By Payment Types,Orders/Purchases,---- Free,AvgCount_AttemptedAcquisitions_Free,134369,0.79687279,3.73046815,134920,0.7826638,3.07291503,-0.014209,-0.0178309,0.03690834,0.04631647,4979.67293,Observable but not Detected,0.28078687
42,AvgCount_AttemptedAcquisitions_Trial,Orders By Payment Types,Orders/Purchases,-- Trial,AvgCount_AttemptedAcquisitions_Trial,134369,7.44E-06,0.00272804,134920,7.41E-06,0.00272246,-3.04E-08,-0.0040839,2.94E-05,3.95395777,3.97017156,Observable but not Detected,0.9976912
43,AvgCount_AttemptedAcquisitions_Paid,Orders By Payment Types,Orders/Purchases,---- Paid,AvgCount_AttemptedAcquisitions_Paid,134369,0.03511971,0.37553318,134920,0.03575452,0.48332523,0.00063481,0.01807571,0.00467198,0.13303015,630.343554,Observable but not Detected,0.70344821
44,AvgCount_SuccessfulAcquisitions_Total,Orders By Payment Types,Orders/Purchases,Acquisition Successes,AvgCount_SuccessfulAcquisitions_Total,134369,0.51165819,1.4340092,134920,0.50953899,1.43824295,-0.0021192,-0.0041418,0.01550662,0.0303066,2092.15325,Observable but not Detected,0.70181051
45,AvgCount_SuccessfulAcquisitions_FreeAndPaid,Orders By Payment Types,Orders/Purchases,-- Free & Paid,AvgCount_SuccessfulAcquisitions_FreeAndPaid,134369,0.50647843,1.42178338,134920,0.50411355,1.42500994,-0.0023649,-0.0046693,0.01536918,0.03034518,2073.60953,Observable but not Detected,0.66640735
46,AvgCount_SuccessfulAcquisitions_TrialAndPaid,Orders By Payment Types,Orders/Purchases,-- TrialAndPaid,AvgCount_SuccessfulAcquisitions_TrialAndPaid,134369,0.01532347,0.17295588,134920,0.01597243,0.17322668,0.00064895,0.04235026,0.00186896,0.12196713,252.160112,Observable but not Detected,0.33066072
47,AvgCount_SuccessfulAcquisitions_Free,Orders By Payment Types,Orders/Purchases,---- Free,AvgCount_SuccessfulAcquisitions_Free,134369,0.49633472,1.4104365,134920,0.49356656,1.41343353,-0.0027682,-0.0055772,0.01524542,0.03071601,2056.9123,Observable but not Detected,0.61096772
48,AvgCount_SuccessfulAcquisitions_Trial,Orders By Payment Types,Orders/Purchases,-- Trial,AvgCount_SuccessfulAcquisitions_Trial,134369,0.00517977,0.09106922,134920,0.00542544,0.08158466,0.00024567,0.047429,0.00093363,0.18024557,125.965349,Observable but not Detected,0.46100358
49,AvgCount_SuccessfulAcquisitions_Paid,Orders By Payment Types,Orders/Purchases,---- Paid,AvgCount_SuccessfulAcquisitions_Paid,134369,0.01014371,0.13730444,134920,0.01054699,0.14482916,0.00040328,0.03975687,0.00152364,0.15020494,205.568854,Observable but not Detected,0.45836965
50,AvgCount_SuccessfulAcquisitions_Total_Capped,Orders By Payment Types,Orders/Purchases,Acquisition Successes (Capped),AvgCount_SuccessfulAcquisitions_Total_Capped,134369,0.51165819,1.4340092,134920,0.50953899,1.43824295,-0.0021192,-0.0041418,0.01550662,0.0303066,2092.15325,Observable but not Detected,0.70181051
51,AvgCount_SuccessfulAcquisitions_FreeAndPaid_Capped,Orders By Payment Types,Orders/Purchases,-- Free & Paid (Capped),AvgCount_SuccessfulAcquisitions_FreeAndPaid_Capped,134369,0.50647843,1.42178338,134920,0.50411355,1.42500994,-0.0023649,-0.0046693,0.01536918,0.03034518,2073.60953,Observable but not Detected,0.66640735
52,AvgCount_SuccessfulAcquisitions_TrialAndPaid_Capped,Orders By Payment Types,Orders/Purchases,-- TrialAndPaid (Capped),AvgCount_SuccessfulAcquisitions_TrialAndPaid_Capped,134369,0.01532347,0.17295588,134920,0.01597243,0.17322668,0.00064895,0.04235026,0.00186896,0.12196713,252.160112,Observable but not Detected,0.33066072
53,AvgCount_SuccessfulAcquisitions_Free_Capped,Orders By Payment Types,Orders/Purchases,---- Free (Capped),AvgCount_SuccessfulAcquisitions_Free_Capped,134369,0.49633472,1.4104365,134920,0.49356656,1.41343353,-0.0027682,-0.0055772,0.01524542,0.03071601,2056.9123,Observable but not Detected,0.61096772
54,AvgCount_SuccessfulAcquisitions_Trial_Capped,Orders By Payment Types,Orders/Purchases,-- Trial (Capped),AvgCount_SuccessfulAcquisitions_Trial_Capped,134369,0.00517977,0.09106922,134920,0.00542544,0.08158466,0.00024567,0.047429,0.00093363,0.18024557,125.965349,Observable but not Detected,0.46100358
55,AvgCount_SuccessfulAcquisitions_Paid_Capped,Orders By Payment Types,Orders/Purchases,---- Paid (Capped),AvgCount_SuccessfulAcquisitions_Paid_Capped,134369,0.01014371,0.13730444,134920,0.01054699,0.14482916,0.00040328,0.03975687,0.00152364,0.15020494,205.568854,Observable but not Detected,0.45836965
56,AvgCount_AttemptedAcquisitions_AddtoCart,Orders By Payment Types,Orders/Purchases,Attempted Acquisitions - Add to Cart,AvgCount_AttemptedAcquisitions_AddtoCart,134369,0.83199994,3.77222868,134920,0.81842573,3.14353212,-0.0135742,-0.0163152,0.03749753,0.04506915,5059.16703,Observable but not Detected,0.31049718
57,Proportion_AttemptedAcquisitions_Total,Orders By Payment Types,% of Users Ordering/Purchasing,Acquisition Attempts,Proportion_AttemptedAcquisitions_Total,134369,0.30446755,0.46018326,134920,0.30203083,0.45914025,-0.0024367,-0.0080032,0.00496324,0.01630137,669.64006,Observable but not Detected,0.16899439
58,Proportion_AttemptedAcquisitions_FreeAndPaid,Orders By Payment Types,% of Users Ordering/Purchasing,-- Free & Paid,Proportion_AttemptedAcquisitions_FreeAndPaid,134369,0.30446755,0.46018326,134920,0.30203083,0.45914025,-0.0024367,-0.0080032,0.00496324,0.01630137,669.64006,Observable but not Detected,0.16899439
59,Proportion_AttemptedAcquisitions_TrialAndPaid,Orders By Payment Types,% of Users Ordering/Purchasing,-- TrialAndPaid,Proportion_AttemptedAcquisitions_TrialAndPaid,134369,0.30446755,0.46018326,134920,0.30203083,0.45914025,-0.0024367,-0.0080032,0.00496324,0.01630137,669.64006,Observable but not Detected,0.16899439
60,Proportion_AttemptedAcquisitions_Free,Orders By Payment Types,% of Users Ordering/Purchasing,---- Free,Proportion_AttemptedAcquisitions_Free,134369,0.29357218,0.45539993,134920,0.29137267,0.45439648,-0.0021995,-0.0074922,0.0049118,0.01673116,662.700404,Observable but not Detected,0.20964173
61,Proportion_AttemptedAcquisitions_Trial,Orders By Payment Types,% of Users Ordering/Purchasing,-- Trial,Proportion_AttemptedAcquisitions_Trial,134369,7.44E-06,0.00272804,134920,7.41E-06,0.00272246,-3.04E-08,-0.0040839,2.94E-05,3.95395777,3.97017156,Observable but not Detected,0.9976912
62,Proportion_AttemptedAcquisitions_Paid,Orders By Payment Types,% of Users Ordering/Purchasing,---- Paid,Proportion_AttemptedAcquisitions_Paid,134369,0.02032463,0.14110877,134920,0.02034539,0.14117933,2.08E-05,0.00102149,0.00152401,0.07498341,205.619422,Observable but not Detected,0.96955562
63,Proportion_SuccessfulAcquisitions_Total,Orders By Payment Types,% of Users Ordering/Purchasing,Acquisition Successes,Proportion_SuccessfulAcquisitions_Total,134369,0.268812,0.44334363,134920,0.2672102,0.44250464,-0.0016018,-0.0059588,0.00478251,0.01779128,645.256143,Observable but not Detected,0.34807366
64,Proportion_SuccessfulAcquisitions_FreeAndPaid,Orders By Payment Types,% of Users Ordering/Purchasing,-- Free & Paid,Proportion_SuccessfulAcquisitions_FreeAndPaid,134369,0.26707797,0.44243506,134920,0.26554254,0.44162331,-0.0015354,-0.005749,0.00477285,0.01787061,643.952316,Observable but not Detected,0.36744445
65,Proportion_SuccessfulAcquisitions_TrialAndPaid,Orders By Payment Types,% of Users Ordering/Purchasing,-- TrialAndPaid,Proportion_SuccessfulAcquisitions_TrialAndPaid,134369,0.01308337,0.11363229,134920,0.013445,0.11517089,0.00036163,0.02764039,0.00123527,0.09441512,166.662413,Observable but not Detected,0.41211719
66,Proportion_SuccessfulAcquisitions_Free,Orders By Payment Types,% of Users Ordering/Purchasing,---- Free,Proportion_SuccessfulAcquisitions_Free,134369,0.26173448,0.43958046,134920,0.26014675,0.43871613,-0.0015877,-0.0060662,0.00474174,0.0181166,639.755535,Observable but not Detected,0.34820281
67,Proportion_SuccessfulAcquisitions_Trial,Orders By Payment Types,% of Users Ordering/Purchasing,-- Trial,Proportion_SuccessfulAcquisitions_Trial,134369,0.00482998,0.0693303,134920,0.00509191,0.07117595,0.00026192,0.0542286,0.00075861,0.15706205,102.351264,Observable but not Detected,0.33339523
68,Proportion_SuccessfulAcquisitions_Paid,Orders By Payment Types,% of Users Ordering/Purchasing,---- Paid,Proportion_SuccessfulAcquisitions_Paid,134369,0.00863294,0.09251205,134920,0.00877557,0.09326642,0.00014263,0.01652126,0.00100298,0.11618014,135.321598,Observable but not Detected,0.69033854
70,AvgCount_AttemptedAcquisitions_Total_ProductType_App,Total Orders/downloads by By Product Types,Order/Download Counts (Total),-- App,AvgCount_AttemptedAcquisitions_Total_ProductType_App,134369,0.43808468,1.82765225,134920,0.43338275,1.69514339,-0.0047019,-0.0107329,0.0190337,0.04344754,2568.02716,Observable but not Detected,0.4888871
71,AvgCount_AttemptedAcquisitions_Total_ProductType_EssentialApps,Total Orders/downloads by By Product Types,Order/Download Counts (Total),-- Essential Apps,AvgCount_AttemptedAcquisitions_Total_ProductType_EssentialApps,134369,0.43808468,1.82765225,134920,0.43338275,1.69514339,-0.0047019,-0.0107329,0.0190337,0.04344754,2568.02716,Observable but not Detected,0.4888871
72,AvgCount_AttemptedAcquisitions_Total_ProductType_AddOn,Total Orders/downloads by By Product Types,Order/Download Counts (Total),-- AddOn,AvgCount_AttemptedAcquisitions_Total_ProductType_AddOn,134369,0.00446532,0.17543114,134920,0.00428402,0.13485237,-0.0001813,-0.0406008,0.00168986,0.37844148,227.995998,Observable but not Detected,0.76374565
73,AvgCount_AttemptedAcquisitions_Total_ProductType_Book,Total Orders/downloads by By Product Types,Order/Download Counts (Total),-- Book,AvgCount_AttemptedAcquisitions_Total_ProductType_Book,134369,0,0,134920,0,0,0,NaN,0,null,0,Observable but not Detected,1
74,AvgCount_AttemptedAcquisitions_Total_ProductType_Device,Total Orders/downloads by By Product Types,Order/Download Counts (Total),-- Device,AvgCount_AttemptedAcquisitions_Total_ProductType_Device,134369,7.44E-06,0.00272804,134920,1.48E-05,0.00385013,7.38E-06,0.9918322,3.60E-05,4.83927361,4.85911777,Observable but not Detected,0.56583419
75,AvgCount_AttemptedAcquisitions_Total_ProductType_Framework,Total Orders/downloads by By Product Types,Order/Download Counts (Total),-- Framework,AvgCount_AttemptedAcquisitions_Total_ProductType_Framework,134369,0,0,134920,0,0,0,NaN,0,null,0,Observable but not Detected,1
76,AvgCount_AttemptedAcquisitions_Total_ProductType_Game,Total Orders/downloads by By Product Types,Order/Download Counts (Total),-- Game,AvgCount_AttemptedAcquisitions_Total_ProductType_Game,134369,0.37737871,3.13935424,134920,0.36914468,2.440489,-0.008234,-0.021819,0.03036735,0.08046918,4097.16345,Observable but not Detected,0.4474688
77,AvgCount_AttemptedAcquisitions_Total_ProductType_GamesAndAddOn,Total Orders/downloads by By Product Types,Order/Download Counts (Total),-- GameAndAddOn,AvgCount_AttemptedAcquisitions_Total_ProductType_GamesAndAddOn,134369,0.38184403,3.14855122,134920,0.3734287,2.44829505,-0.0084153,-0.0220387,0.03045939,0.07976919,4109.58051,Observable but not Detected,0.43891806
78,AvgCount_AttemptedAcquisitions_Total_ProductType_Movie,Total Orders/downloads by By Product Types,Order/Download Counts (Total),-- Movie,AvgCount_AttemptedAcquisitions_Total_ProductType_Movie,134369,0.00249313,0.11367044,134920,0.00254225,0.09587308,4.91E-05,0.01969917,0.00113555,0.45546993,153.208114,Observable but not Detected,0.90355716
79,AvgCount_AttemptedAcquisitions_Total_ProductType_Music,Total Orders/downloads by By Product Types,Order/Download Counts (Total),-- Music,AvgCount_AttemptedAcquisitions_Total_ProductType_Music,134369,0,0,134920,0,0,0,NaN,0,null,0,Observable but not Detected,1
80,AvgCount_AttemptedAcquisitions_Total_ProductType_OperatingSystem,Total Orders/downloads by By Product Types,Order/Download Counts (Total),-- OperatingSystem,AvgCount_AttemptedAcquisitions_Total_ProductType_OperatingSystem,134369,0,0,134920,0,0,0,NaN,0,null,0,Observable but not Detected,1
81,AvgCount_AttemptedAcquisitions_Total_ProductType_Pass,Total Orders/downloads by By Product Types,Order/Download Counts (Total),-- Pass,AvgCount_AttemptedAcquisitions_Total_ProductType_Pass,134369,0.00858829,0.14049023,134920,0.00801957,0.14076321,-0.0005687,-0.0662208,0.00151842,0.17680148,204.865558,Observable but not Detected,0.29402704
82,AvgCount_AttemptedAcquisitions_Total_ProductType_TVEpisode,Total Orders/downloads by By Product Types,Order/Download Counts (Total),-- TVEpisode,AvgCount_AttemptedAcquisitions_Total_ProductType_TVEpisode,134369,0,0,134920,0,0,0,NaN,0,null,0,Observable but not Detected,1
83,AvgCount_AttemptedAcquisitions_Total_ProductType_TVSeason,Total Orders/downloads by By Product Types,Order/Download Counts (Total),-- TVSeason,AvgCount_AttemptedAcquisitions_Total_ProductType_TVSeason,134369,0.00061026,0.04629249,134920,0.00065224,0.03982099,4.20E-05,0.06878801,0.00046629,0.7640841,62.9118219,Observable but not Detected,0.80087306
84,AvgCount_AttemptedAcquisitions_Total_ProductType_TVSeries,Total Orders/downloads by By Product Types,Order/Download Counts (Total),-- TVSeries,AvgCount_AttemptedAcquisitions_Total_ProductType_TVSeries,134369,0,0,134920,0,0,0,NaN,0,null,0,Observable but not Detected,1
85,AvgCount_AttemptedAcquisitions_Total_ProductType_Others,Total Orders/downloads by By Product Types,Order/Download Counts (Total),-- Others,AvgCount_AttemptedAcquisitions_Total_ProductType_Others,134369,0.00037211,0.02834827,134920,0.00038541,0.02667189,1.33E-05,0.03575274,0.0002972,0.79868377,40.0979448,Observable but not Detected,0.90019766
87,AvgCount_SuccessfulAcquisitions_Total_ProductType_App,Total Orders/downloads by By Product Types,Order/Download Counts (Total),-- App,AvgCount_SuccessfulAcquisitions_Total_ProductType_App,134369,0.29086322,0.91701875,134920,0.2896976,0.9102136,-0.0011656,-0.0040075,0.00986496,0.03391616,1330.98103,Observable but not Detected,0.74062298
88,AvgCount_SuccessfulAcquisitions_Total_ProductType_AddOn,Total Orders/downloads by By Product Types,Order/Download Counts (Total),-- AddOn,AvgCount_SuccessfulAcquisitions_Total_ProductType_AddOn,134369,0.0029099,0.09582645,134920,0.00274978,0.08426391,-0.0001601,-0.0550259,0.0009744,0.33485619,131.465664,Observable but not Detected,0.64524674
89,AvgCount_SuccessfulAcquisitions_Total_ProductType_AddOn_Capped,Total Orders/downloads by By Product Types,Order/Download Counts (Total),-- Add-On (Capped),AvgCount_SuccessfulAcquisitions_Total_ProductType_AddOn_Capped,134369,0.0029099,0.09582645,134920,0.00274978,0.08426391,-0.0001601,-0.0550259,0.0009744,0.33485619,131.465664,Observable but not Detected,0.64524674
90,AvgCount_SuccessfulAcquisitions_Total_ProductType_Book,Total Orders/downloads by By Product Types,Order/Download Counts (Total),-- Book,AvgCount_SuccessfulAcquisitions_Total_ProductType_Book,134369,0,0,134920,0,0,0,NaN,0,null,0,Observable but not Detected,1
91,AvgCount_SuccessfulAcquisitions_Total_ProductType_Device,Total Orders/downloads by By Product Types,Order/Download Counts (Total),-- Device,AvgCount_SuccessfulAcquisitions_Total_ProductType_Device,134369,0,0,134920,7.41E-06,0.00272246,7.41E-06,Infinity,2.08E-05,null,2.8015852,Observable but not Detected,0.3173123
92,AvgCount_SuccessfulAcquisitions_Total_ProductType_Framework,Total Orders/downloads by By Product Types,Order/Download Counts (Total),-- Framework,AvgCount_SuccessfulAcquisitions_Total_ProductType_Framework,134369,0,0,134920,0,0,0,NaN,0,null,0,Observable but not Detected,1
93,AvgCount_SuccessfulAcquisitions_Total_ProductType_Game,Total Orders/downloads by By Product Types,Order/Download Counts (Total),-- Game,AvgCount_SuccessfulAcquisitions_Total_ProductType_Game,134369,0.21366535,0.98386024,134920,0.2127483,0.99562586,-0.0009171,-0.004292,0.01068686,0.05001683,1441.8717,Observable but not Detected,0.81001332
94,AvgCount_SuccessfulAcquisitions_Total_ProductType_GamesAndAddOn,Total Orders/downloads by By Product Types,Order/Download Counts (Total),-- GameAndAddOn,AvgCount_SuccessfulAcquisitions_Total_ProductType_GamesAndAddOn,134369,0.21657525,0.99167634,134920,0.21549807,1.00194148,-0.0010772,-0.0049737,0.01076313,0.04969695,1452.1613,Observable but not Detected,0.77918319
95,AvgCount_SuccessfulAcquisitions_Total_ProductType_Movie,Total Orders/downloads by By Product Types,Order/Download Counts (Total),-- Movie,AvgCount_SuccessfulAcquisitions_Total_ProductType_Movie,134369,0.00110889,0.06642306,134920,0.00143048,0.06236327,0.00032159,0.29001213,0.00069568,0.62736704,93.8610074,Observable but not Detected,0.195292
96,AvgCount_SuccessfulAcquisitions_Total_ProductType_Music,Total Orders/downloads by By Product Types,Order/Download Counts (Total),-- Music,AvgCount_SuccessfulAcquisitions_Total_ProductType_Music,134369,0,0,134920,0,0,0,NaN,0,null,0,Observable but not Detected,1
